Name,Street,City,State,Phone,Website,Email,Type,Services,Comments,Hours
Ajeromi General Hospital,,,,,ajeromigeneralhospital.com,"support@ajeromigeneralhospital.com, info@ajeromigeneralhospital.com",Private,"DENTAL CARE DEPARTMENT,ANTE-NATAL, POST-NATAL CLINIC: Pregnancy tests ante-natal examinations smear tests (by appointment only) gynecological assessments referral to hospital services as appropriate Post-natal examinations.,DIABETES CLINIC: Investigations of - glucose level in blood urine (for protein, glucose, acetone) blood pressure Weight,MEDICAL CONSULTANT CLINIC: Medical consultation,GENERAL OUTPATIENT CLINIC: Anticoagulant consultation.,RADIOLOGY DEPARTMENT: Radiological investigations,SURGICAL CONSULTANT CLINIC: Surgical consultation,FAMILY PLANNING CLINIC: Counseling, Immunizations, Application of IUD/ Family planning measures,VOLUNTARY COUNCELLING AND TESTING CLINIC: Counseling and Testing of patients for HIV, Treatment / Management of HIV cases,DOTS CLINIC: Treatment for patients with Tuberculosis,EYE CLINIC: Checking of Central visual filed,MEDICAL RECORDS/INFORMATION DEPARTMENT: Medical information Statistics,ECG (ELECTROCARDIOGRAM) DEPARTMENT: ECG recording,OPHTHALMIC CLINIC: Eye care services provided by Ophthalmologist,CATERING DEPARTMENT: Meals served,BLOOD INVESTIGATIONS AND TESTS: OGTT (Oral Glucose Tolerance Test) lactose Tolerance blood investigation Other blood investigations,PAEDIATRIC (CHILDREN)  CLINIC: Pediatric consultation for children,PHARMACY DEPARTMENT: Supply of drugs and treatment materials","It's a state hospital, with Nigerian-level health care, it needs major improvement in terms of equipment, and infrastructure, not the best but can be, they have excellent doctors and nurses,Good unit for maternal and child care,A Service delivery committee in conjunction with a quality Improvement team and other allied committees are on ground working hard together to ensure great standards,Accepts Credit Cards","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
"General Hospital, Ikorodu",,,,,generalhospitalikorodu.org,"ghikorodu@yahoo.com, info@generalhospitalikorodu.org",Public,"Dental DEPARTMENT,Medical Laboratory,General Out-patient Services (GOPD),Medical Out-patient Department (MOPD),Mortuary,Maternal & Child Center,Obstetrics and Gynaecology,Ophthalmology,Paediatrics,Physiotherapy,Radiology,Orthopedics,Surgery,Nursing Services,Ambulance Service","The hospital has state of the art equipments like Anaesthetic Machines, Blood Bank, X-ray Machines,The hospital is quite affordable and patient-friendly providing free medical service for all emergencies for the first 24 hours,Free medical care for the destitute and physically challenged, children below 12 years and adults above 60 years,A good hospital with hard working staff. But I must confess I only had dealings with the Maternity department. The Midwives were gentle and thoughtful. I had issues with paying some cash because of the short of human resource and it tool like forever to pay the fees I needed to pay for,The hospital was so big, neat, clean and very attractive. Enough trained Doctors, Nurses and Lab. Scientists. I love their services to patients and the way they issues like emergency cases. Enough parking space for staffs cars, patients and hospital' ambulance,I passed by this place, it's a government owned hospital with a large area of land, adequate spaces for car parks, looks clean and neat, big and very attractive. There is ATM provision right in the hospital. It serves the people of ikorodu. It's is accessible","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Lagos State University Teaching Hospital (LSUTH),,,,,lasuth.org.ng,enquiry@lasuth.org.ng,Public,"CH&PHC,INTENSIVE CARE UNIT,Radiology,Laboratory Service,MEDICINE,Ear, Nose & Throat,Family Medicine,Anaesthesia,Internal Medicine,National Health Insurance Scheme(NHIS),Ophthalmology,Obstetrics & Gynaecology,Surgery,Psychiatry,QUALITY ASSURANCE,HAEMATOLOGY & BT,Nursing Services,Paediatrics,Dietetic,Dentistry,Pharmacy,Physiotherapy,Medical Social Services","Despite LASUTH’s relatively young age as a Teaching Hospital, evidence abounds that it is one of the foremost teaching hospitals in West Africa in terms of the high-quality services rendered by highly skilled professionals using state-of-the-art equipment","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Orile Agege General Hospital,,,,,,,Public,"Medical,Surgical,Child and maternal health,Nursing care,Pharmaceuticals,Diagnostic/Laboratory Services,Rehabilitative medicine,Eye,ENT (Ear, Nose and Throat),Physiotherapy,Radiology,GOPD,MOPD,SOPD,Dental,Obstetrics & Gynaecology,Medical Social Welfare","I have been to many General hospital in Lagos but Orile Agege is one of the best in terms of infrastructures, Doctors and nurses service and they make use of Internet access to attend to all patients,The hospital is equipped with modern facilities, experienced core medical and non-core medical personnel to deliver excellent medical services to her patients,It's fairly okay. The usual Nigerian standard of public facility. Usually crowded. Go early so you can leave early,Stressful like any other public or general hospitals but effective,It is a secondary health facility. The compound of the hospital is not spacious so they have limited space for car park which mostly reserved for staffs of the hospital,Lagos State Government General Hospital with a Class known for being the saviour of Pregnant Women & Children where the Low-income earners are highly dominated","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Epe General Hospital,,,,,,epegeneralhospital2015@gmail.com,Public,"General health care,Pediatric care,Dental,LABORATORY,Medicine,Mortuary Service,Obstetrics & Gynaecology,Pharmacy,Physiotherapy,Radiology,PMTCT,Surgery,VCT",,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
The Synapse Magnolia,,,,,synapseservices.org/our-facilities-magnolia.html,synapsemagnolia@synapseservices.org,Private,"Substance misuse services/addiction services,Neuropsychiatry,Women's health,Child and adolescent mental health,Eating disorders,Personality Disorders Service,Deafness and mental health services,Learning Disabilities,Early intervention psychosis program,Attention Deficit Hyperactivity Disorder (ADHD),Acquired brain injury,Autistic spectrum disorders","Activity Programmes such as book club, music occupations, gardening, puzzles and card games, religious services,24 hours professional nursing care, private bedrooms most with en-suite; with laundry services, nurse call system in all rooms,Latest Technologies: The Repetitive Transcranial Magnetic Stimulation Machine (rTMS), is used for the treatment of drug addiction and/or psychotherapy,A large range of food menus and catering which respond to every special dietary requirements,Long stay supported accommodation","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Gbagada General Hospital,,,,,gbagadagh.org.ng,info@gbagadagh.org.ng,Public,"Radiology,Cardiology,Psychiatry,Ophthalmology,Urology,Dermatology,Pathology/Laboratory Services,Medicine,Endocrinology,Obstetrics & Gynaecology,Dental Care,Orthopedics,Oral & Maxillofacial","General hospital in the suburbs of Lagos mainland, given that its Lagos, its a cut above the average. Very accessible, ample parking and good roads into and out the area,Gbagada General hospital is a state owned hospital by the Lagos state government. It is situated at the heart of Gbagada,Gbagada general hospital provides care for the resident and outsider as well. It has a large Accident and Emergency unit. The parking space is wide. They are trying within their capacity. However, more nurses and Doctors need to be employed. They are chewing more than they can bite. The Medical director need fund to make their a better place,Trees are planted around the facility and close to the car park where visitors can relax,Experienced medical personnel, but all over worked as the number if patients they attend to surpasses their human capacity.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Ifako Ijaiye General Hospital,,,,,,,Public,"Laboratory,Medicine,Obstetrics and Gynaecology,Paediatrics,Pharmacy,Radiology,Surgery,Orthopedics,Eye Care,Dental Care","The doctors, nurses and the care giver are highly experienced to attend to all kinds of medical issues. The drugs and medical supplies are cheaper here,The major challenge is the operations, long queues to get bills, make payment, do test and get drugs. There is also limited parking spaces especially during the day,The hospital is too small for the volume of request and patients that comes to the hospital,Good service but needs to work on communication and attendance. Most of the session are not fully operated,A contemporary art building and construction hospital for the Ifako Jaye Ogba community and it's suburbs","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
MariGold Hospital,,,,,marigoldhospital.ng,info@marigoldhospital.ng,Private,"Emergency Medicine,Critical Care Unit/ICU,Surgery,Health accessment clinic,Paediatrics,Neurology & Dialysis,Women's health,Medicine,Diagnotics,Ambulance Service,Pain Clinic,Physiotherapy & Rehabilitation,Oncology,Day case surgery,Endoscopy,Burns & Reconstructive surgery,C-ARM","They attend swiftly to emergencies,They have polite and courteous workers","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Cottage Medical Hospital,,,,,cottagemedicare.com.ng,"care@cottagemedicare.com.ng, cottagemedicals@gmail.com",Private,"General medical care,Infertility treatment,Health screening,Maternity Care,Surgery,Admission facility,Ultra-sound scan,Laboratory Service,Medical Checkup,Gynae consultaton & treatment,Pharmacy",,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Regis & Reina Hospital,,,,,regisandreina.com,info@regisandreina.com,Private,"Ultrasound scans,MRI scans,CT scan,X-ray,Medical Services,Diagnotics","Regis and Reina diagnostics is a center you can trust for your laboratory investigations and other health checks. The organization, the professionals, and the receptionists are good at what they do","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Mobihealth,,,,,mobihealthinternational.com,"mobihealth4u@gmail.com, bec2000ng@yahoo.com",Private,"Telehealth Services,Digitalization and EMR,AI Diagnostic Devices,Lab & Radiodiagnostics,Home Health,Retail Pharmacy,Trainings,Dermatology,Dentistry,Cardiology,Gynecology,Oncology,INTEGRATED TELEHEALTH CLINICS","24/7 video consultation is available, Now there is no need to wait in the queue to consult a doctor,Make bookings online for diagnostics tests and consult a doctor for early diagnosis and get a timely medical prescription,Have access to over 100k doctor and get the best advice for your health,Mobihealth offers you free referrals","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Royal Specialist Hospital,,,,,royalspecialisthospital.com,info@royalspecialist.com,Private,"Dental care,Immunization,Internal Medicine,Laboratory Services,Obstetrics & Gynecology,Paediatrics,Surgery","Friendly environment and welcoming staff!,Well equipped hospital,Wheelchair-accessible","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
SYNAPSE AZALEA,,,,,azaleaservices.org,synapseazaleaunit@synapseservices.org,Private,"Adult mental health programs,Substance use disorder treatment programs,Trauma & stress related psychological problems,Child and Adolescent mental health,School-based mental health,Counseling/Psychotherap,Psychological assessment","Friendly Environment,Best Professionals: highly trained and qualified team of mental health professionals who are committed to provide the best medical service and post discharge follow up and care for our patients.,Latest Technologies: The Repetitive Transcranial Magnetic Stimulation Machine (rTMS), is used for the treatment of drug addiction and/or psychotherapy,Newest Branch: Synapse Azalea is the newest branch of Synapse services, the centre of psychological Medicine (the largest private provider of mental health care services in West Africa)","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Synapse Mustard Centre,,,,,synapseservices.org/our-facilities-mustard.html,synapsemustardunit@synapseservices.org,Private,"Substance misuse services/addiction services,Neuropsychiatry,Women's health,Child and adolescent mental health,Eating disorders,Personality Disorders Service,Deafness and mental health services,Learning Disabilities,Early intervention psychosis program,Attention Deficit Hyperactivity Disorder (ADHD),Acquired brain injury,Autistic spectrum disorders","Activity Programmes such as book club, music occupations, gardening, puzzles and card games, religious services,24 hours professional nursing care, private bedrooms most with en-suite; with laundry services, nurse call system in all rooms,Latest Technologies: The Repetitive Transcranial Magnetic Stimulation Machine (rTMS), is used for the treatment of drug addiction and/or psychotherapy,A large range of food menus and catering which respond to every special dietary requirements,Long stay supported accommodation","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Supreme Vision Eye Clinic,,,,,sveyeclinic.com,"supremevision2004@gmail.com, info@sveyeclinic.com",Private,"Comprehensive Eye Care,Ocular Pathologies Diagnosis,Contact Lens Dispensing,Binocular vision disorders treatment/ Vision therapy,Low vision management,Optical lens dispensing,Eye Surgery co-managment,Glaucoma and Dry eye management,Paediatric and geriatric optometry,Corneal and external diseases management,Full optical services","The best eye clinic of international repute,There are very few health care facilities with such exceptional customer care. I was made to feel at home. Eye care service was prompt and efficient. I would highly recommend the eye clinic to anyone, anytime,Excellent eye and patient care delivery. Also well equipped and a wonderful training ground for Optometrists on clinical practice,Excellent customer service and professional touch comes to mind as you hear Supreme Vision Eye clinic. Love them,Supreme vision eye clinic, besides its clinical services to the public, has been a point of clinical training to a handful of young health professionals. It has brought smiles to our hearts","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Living Stream Hospital,,,,,,,Private,General Health care,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
University of Abuja Teaching Hospital,,,,,uath.gov.ng,info@uath.gov.ng,Public,"In-Patient,Pharmaceutical,Mobile Clinic,Social Welfare,Out-Patient,Laboratory,Endoscopy,Radiological,Nursing,Anaesthetical",,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Our Lady of Fatima Catholic Hospital,,,,,,support@olfcatholichospital.com,Private,"Radiology,Physiotherapy,Surgical Services: General Surgery,Special Clinical Services: Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Communicable Diseases, Hepatitis, Accidents and Emergency,Ambulance Service,Onsite Imaging,Onsite Laboratory,Onsite Pharmacy,Mortuary Service",Facility Level: Our Lady Of Fatima Catholic Hospital ( Bwari ) is a Secondary Health Care Centre,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Silver- Fountain Medical Center,,,,,silverfountainng.com,info@silverfountainng.com,,"General Surgeries,Diagnostic,Obstetrics & Gynaecology,Wellness services,Medical Consulting,Laboratory,Maternity Care","First and only hospital along Umaru Musa Ya'radua Express road formerly known as Airport road, before entering into the main city. Silver-Fountain Medical Centre (REHOBOTH) is located at Kukuaba Abuja, Opposite Kushingoro, Along Airport Road,Silver-Fountain Medical Center facilitates medical treatment in Germany and Israel where necessary,The Medical Director is German trained Surgeon versed in Accident Surgery and Colo-rectal Surgery and has accumulatively post-qualification experience of well over 22 years","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Abaji General Hospital,,,,,,,Public,"Out-Patient,Obstetrics & Gynaecology,Laboratory,Pharmaceutical",,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Gwarinpa General Hospital,,,,,,,Public,"Immunization and Vaccines,Accident and Emergency services,General Out-patient,General surgery and Optometry,Obstetrics & Gynaecology","The parking lot is big enough for the number of car owners patronising the hospital.,Fair hospital as far as services. Staff are knowledgeable. Cash-only policy enables corruption and ordering of unnecessary procedures. They hate to write any medical orders on paper for obvious reasons.,Community government hospital for Gwarinpa District of the Federal Capital Territory, Abuja.,Easy to access via Google map and also if well described by anyone who knows the place,Wheelchair-accessible","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Nisa Premier Hospital,,,,,nisa.com.ng,info@nisa.com.ng,Private,"Family & specialty Medicine,Fertility & Genetics,Gynecology,Child Clinic,Imaging & Radiology,Surgery,Paediatrics & Neonat0logy,Dental Clinic,Eye Clinic,Accident and Emergency,Maternity,Nisa VIP Clinic","Nisa Premier Hospital is one of the best private hospitals located in Abuja. They have good doctors who take their time to talk to patients,Nisa is king for professionalism, transparency and excellent patient empathy,Patients are respected, excellent medical services rendered.,The Doctors are very professional and the nurses are nice. Quick medical response is priority to them","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Synapse Japonica,,,,,japonica.synapseservices.org,admin.japonica@synapseservices.org,Private,"Drug Addiction Treatment And Rehabilitation,Nicotine Clinic,General Adult Psychiatry Service,Child And Adolescent Mental Health,Adult And Child ADHD Treatment,Employee Assisted Program (EAP)","At Synapse Japonica, our goal is to ensure that all individuals who come in contact with our services experience wholesome and full recovery from mental illnesses and addiction","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
University of Port Harcourt Teaching Hospital (UPTH),,,,,upthng.com,"info@upthng.com, support@upthng.com",Public,"Renal Dialysis unit,Ophthalmology,Anaesthesiology,HAEMATOLOGY & BT,Intensive care unit,Internal Medicine,Nuclear medicine,Family Medicine,Dentistry,Obstetrics & Gynaecology,Child Dental care,Burns and plastic unit,Paediatrics,Orthopedics,Neuropsychiatry,Pharmacy,Oral & Maxillofacial,Dialysis,Urology,Otorhinolaryngology,Radiotherapy & clinical oncology,Lifestyle medicine clinic,Preventive dentistry,Restorative dentistry","The University of Port Harcourt Teaching Hospital treats well over 400,000 Out-patients per annum, over 10,000 In-patients per annum and over 3000 surgeries per annum","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Maryland Healthcare Hospital,,,,,marylandhealthcare.com.ng,,Private,"General Medicine,Geriatrics Care,Health and Wellness,Laboratory,Paediatrics (Child) Care,Accident and Emergency,Pharmaceutical,Consultation and Planning","Identifies as women-led,Wheelchair-accessible,Maryland Health Care offers a wide range of medical services and its equipped with medical laboratory, maternity facilities, surgical theater, ambulance, etc. The clinic also provides health care services for various HMOs in Nigeria,24 hours service with reliable medical personnel","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Mediethics Medical solutions LTD,,,,,mmshealthcare.ng,"ask@mmshealthcare.ng, healthwisehospital@gmail.com",Private,"GeriCare: Home based doctor's visit, Home Nursing care, Home Diagnostics Service, Physiotherapy and rehabilitation, 24/7 Emergency call Services, Chronic disease management,Family Medicine,Internal Medicine,Surgery,Obstetrics & Gynaecology,LABORATORY/ INVESTIGATIVE MEDICINE,Occupational medicine,PAEDIATRICS, CHILD HEALTH & IMMUNIZATION",,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
New Mile One Hospital,,,,,,,Private,,Saving lives is their priorities,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Onne Medical Centre,,,,,,samudonsac@hotmail.com,Private,,Onne Medical Centre is a health organization established with the aim of providing medical assistance in Onne Community,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Gbeye Hospital and Maternity,,,,,gbeyehospital.com,info@gbeyehospital.com,Private,"Emergency Services,Medical Counseling,Premium Healthcare,Nutrition Laboratory,Medical diagnostics,X-ray ECG,Ultra sound scan,Medical advisory,Morgue,Training of medical personnel","Procurement and supplies of hi-tech medical equipment and appropriate consumables; installation, maintenance and repairs of hospital equipment","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
SAVE A LIFE Mission Hospital,,,,,savealifehospital.com,info@savealifehospital.com,Private,"Kidney: Lithotripsy, Dialysis, Transplant, Laparascopic Renal Surgery,Infertility: Gynae Surgeries, IVI, IVF/ICSI, Surrogacy, Sex Selection,Obesity/Gastro: Bariatric Surgery, Endoscopy, Laparoscopic Intestinal Tumor Resection,Heart: Angiogram, Angioplasty, Pace Maker Procedure, Valvular Replacement, Heart Surgeries,Spine/Orthopedic: Minimally invasive spine surgery (MISS), Painless and minimal Knee Replacement Surgery, Anatomical hip replacement, surgery, Fixation Surgery for fractures, Arthroplasty,Prostrate Bladder: Laser Laser prostatectomy, Urethroplasty, cystoscopic resection of bladder tumor, Percutaneous nephrolithotomy,Others: Intensive care management, Neonatal Care, Preterm Care with ventilator C-PAP","Savealife Mission Hospital is a 150 bedded multispecialty hospital equipped with the latest technology in Medicine. We cheer a clear vision of reversing medical tourism towards Africa,It is an ultra modern facility equipped to cater for all cases in gynaecology, urology, orthopedic/spine, gastro enterology, ENT, cardiology and ophthalmology, etc, using the latest technology in medicine. It has comfortable standard, deluxe, executive and presidential suites, delivering hospitality at its best,The vision of the hospital is to make Nigeria a global Healthcare destination through the provision of world-class healthcare services powered by superior technology in medicine","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
First Rivers Hospital,,,,,firstrivers.com,"info@firstrivers.com, martinnezus@yahoo.com",,"With modern equipment and through skilled and efficient staff, FRH is committed to the provision of compelling quality timeless medical services to patients","Our objective is to maximally exploit medical sciences in the art of health management and preservation of life with regards to The Ultimate Intelligence,Our core values are to offer Fast medical interventions, maintain high professional Integrity, Respect the person and right of our patients, observe all Safety considerations in the process of task execution, and employ a Team approach to health management,The new face of First Rivers Hospital has really changed alot of things, friendly, dedicated and professional staffs, latest modern medical facilities, neat, safe & serene environment and very quick responses to emergencies. One of the best hospitals in the Garden City,Pretty organized. The computerized operations makes for quick turn around. The staff were courteous. Service was quick,Fair service delivery, could do better in terms of reduced waiting time","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Anchor Hospital,,,,,,,Private,,Anchor Hospital is among the best health centres with durable and skilled staff making use of the foremost medical facilities in carrying out treatment,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Rivers State University Teaching Hospital (RSUTH),,,,,rsuth.ng,,Public,"Ear, Nose, Throat (ENT),Pharmacy,Paediatrics,FAMILY MEDICINE,OPHTALMOLOGY/LENS,Dental Care,Internal Medicine,Radiology,Obstetrics & Gynaecology,Patholgy,Catering,Emmergency and Accident","Rivers State University Teaching Hospital formally Braithwaite Memorial Specialist Hospital (BMSH) is a government owned hospital, was named after Eldred Curwen Braithwaite, a British doctor and a pioneer of surgery. It is located in Old GRA, Rivers State a neighbourhood of Port Harcourt and is operated by Rivers State Hospital Management Board,Fairly great service. The nurses are a bit calm and attend promptly to patients,The registration/folder opening process is not really stressful,The ambience is great with nice structures and good facilities. The compound is generally neat and there's a spacious parking lot and security system","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Alex Ekwueme Federal University Teaching Hospital Abakaliki (AEFUTHA),,,,,aefutha.gov.ng,"enquiries@aefutha.gov.ng, admin@aefutha.gov.ng",Public,"Paediatrics,Laboratory Service,Radiology,General Surgery,Dentistry,Pharmacy,Obstetrics & Gynaecology,Ophthalmology,Nursing Services,Training & Education: School of Nursing, School of Midwifery, Internship training, Residency Training",,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Christ The King Hospital,,,,,,,Private,"Paediatrics,Gynecology,Training of medical personnel",,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
National Obstetric Fistula Centre,,,,,nofic.org.ng,contact@nofic.org.ng,Public,"Repair of Obstetric Fistula,Repair of Uterine Prolapse,Gynaecological Surgeries,Invitro Fertilization (IVF),Renal Dialysis,Family Planning,Physiotherapy,Laboratory and Radiological services,Obstetric Fistula Rehabilitation & Vocational Skill Acquisition,Breast & Cervical, and Prostate Cancer Screening,Antenatal & Postnatal Services,Training of Doctors & Paramedicals in Reproductive Health,Community Awareness Campaign, Advocacy & Resource Mobilization","The National Obstetric Fistula Centre, Abakaliki (NOFIC) was established in 2011 by the Federal Government of Nigeria as the first national health facility for the treatment, rehabilitation, research, reintegration of and training in obstetric fistula mainly and related reproductive health issues","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Ebonyi State University Teaching Hospital (ESUTH),,,,,,,Public,,"The General Hospital caters for everyone in her capacity,The mission of the hospital is to ensure the provision of safe, quality, affordable, adequate, equitable and accessible health services to all people in Nigeria","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
General Hospital Onueke,,,,,,,Public,"Medical Services: Infectious Diseases, Family Medicine,Surgical Services: General Surgery,Pediatrics Services: Gastroenterology,Ambulance Service,Special Clinical Services: Antenatal Care (ANC), Immunization, HIV/ AIDS Services, Tuberculosis, Non Communicable Diseases, Family Planning, Nutrition, Health Education and Community Mobilization, Maternal and newborn care,Obstetrics & Gynecology Services: Gynecology,Onsite Laboratory,Mortuary Service",Facility Level: General Hospital Onueke is a Secondary Health Care Centre,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Mater Misericordiae Hospital,,,,,matersomn.org,sonafikpo@yahoo.com,Private,,"It is a hospital owned and managed by the Catholic diocese of Abakaliki,It has a very large compound that houses the Nursing school, mortuary and Hospital. Mater hospital is big and well fenced with all the facilities needed within the compound.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Ezzamgbo General Hospital,,,,,,,Public,Health & Medical,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Nakowa Specialist Hospital,,,,,,,Private,"Medical Services,Pediatric Care Services,General Surgery",,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Borno Medical Centre,,,,,,,Public,"Medical Care,Gynacology,Oncology,Surgical Services",,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Kanem Hospital and Maternity,,,,,,,Private,,,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Royal Specialist Hospital,,,,,royalspecialisthospital.com,info@royalspecialist.com,Private,"Dental care,Immunization,Internal Medicine,Laboratory Services,Obstetrics & Gynecology,Paediatrics,Surgery","Friendly environment and welcoming staff!,Well equipped hospital,Wheelchair-accessible","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
State Specialist Hospital,,,,,,,Public,,"The #1 State owned government hospital with specialist medical personnels in different fields,This is a standard and well equipped with a modern high-tech equipment to be used for different specialised medical treatment's.this Hospital have enough send an experience doctors for Different kind of treatment and they are doing the rooms are well equipped and decorated for better ventilation","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Royal Specialist Hospital,,,,,royalspecialisthospital.com,info@royalspecialist.com,Private,"Dental care,Immunization,Internal Medicine,Laboratory Services,Obstetrics & Gynecology,Paediatrics,Surgery","Friendly environment and welcoming staff!,Well equipped hospital,Wheelchair-accessible","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
University of Maiduguri Teaching Hospital (UMTH),,,,,umth.org.ng,info@umth.org.ng,Public,"Anaesthesia,Chemical Pathology,Community Medicine,Dental Surgery,Ear Nose and Throat (ENT),General Out Patient Department (GOPD),Haematology,Histopathology,Immunology,Internal Medicine,Radiology,Paediatrics, Surgery,Obstetric & Gynaecology,Orthopaedics,Opthalmology,Pharmacy,Accident & Emergency (A&E)","The University of Maiduguri Teaching Hospital is an agency/parastatal under the Federal Ministry of Health,The biggest hospital in the city, neat and spacious, only stress is finding out places, distances between places is much,It's the only teaching hospital in Maiduguri and they render efficient medical services,One of the major public tertiary healthcare centres in the North-East Nigeria that provide professional healthcare and medical services","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
NEW FOUNDATION HOSPITAL,,,,,,,Private,,This hospital have gotten a new look that is very commendable,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
First Fertility Hospital,,,,,firstfertilityhospital.com,,Private,"We are a specialized gynecologist and obstetric hospital set up to care for reproductive health needs of women which include infertility challenges, endoscopic surgeries and the management of high risk pregnancies in women","Its a fertility hospital where IVF is done and its a mother and child hospital as well,They are good team players, make their patients comfortable and they more than deliver on the services they have been setup to deliver","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
